66	134				
43	157				
14	186				
100	20				
100	33.33333333				
100	50				
4.585559829	0.1980422				
4.552489928	0.324592846				
4.552489928	0.472380727				
4.258596596	0.832554611				
3.80045123	1.268636241				
0.038461538	0.961538462	0	104		
0.1	0.9	0	111		
0.2	0.8	0	125		
0.5	0.5	0	200		
0.8	0.2	0	500		
0.6	0.4	86	10.29563014	121	10.29563014
0.701492537	0.298507463	80	13.08094458	147	13.08094458
0.801652893	0.198347107	76	13.11487705	197	13.11487705
0.799196787	0.200803213	50	10	299	10
0.899550225	0.100449775	33	6.6	700	6.6
0.5	0.5	79	8.042292439	114	11.55626847
0.5	0.5	69	11.41047534	131	13.03930929
0.5	0.5	51	9.949864198	149	9.949866938
0.209302326	0.790697674	66	12.29235591	109	8.881654134
0.3	0.7	51	5.044917369	121	10.31468712
0.384421629	0.615578371	39	3.9	141	14.1
